city,landcover_type_diversity,unclassified,road,grass_shrub,tree,building,parking_lot,water,barren,agriculture,other,total_area_sqm
detroit,8,297800600,95730800,61474400,119737200,53648700,27219000,974600,749700,3400,269400,657607800
chicago,8,846295900,184730700,65432100,130689500,166835900,32172300,11908800,619900,700,5452000,1444137800
minneapolis,8,42569800,34567700,16209100,54982100,26290400,7595400,8657500,139800,2100,264900,191278800
des_moines,8,122938300,34316700,57089200,87779700,18244300,7748900,6813100,1837900,20018900,835200,357622200
st_louis,8,176291800,45748800,29360500,40051300,30928400,12323400,11483200,513800,3300,702700,347407200
nyc,8,1211150300,180567500,71167200,238559400,208726300,36534200,9354500,2927300,13500,1559800,1960560000
boston,8,238926200,32648100,17043000,34687100,30159300,8798800,3428700,901800,41400,61600,366696000
philadelphia,8,455166400,91138100,62607900,89335400,79421900,22805300,15056200,2427600,146100,725600,818830500
dc,8,231024700,30410300,21663800,70392600,28830000,6606000,2184300,272600,13300,789200,392186800
dallas,8,1302403300,119865700,230816100,365769200,97381700,65523000,109764700,5689600,3357900,1355200,2301926400
houston,8,4034745300,229889000,394586700,584374000,197752600,137068700,97345700,9896700,57300,9347500,5695063500
raleigh,8,456188800,59454800,73477800,267561500,36100700,21859800,5999500,1886200,3388500,323800,926241400
charlotte,8,633004200,100227500,134152600,409798700,72781200,46844400,5306800,4739000,1031000,548000,1408433400
denton,8,917253721,2454864639,17490395366,6951079500,1736254861,561210822,2612391685,364323542.2,2582898688,26509252.54,35697182077
atlanta,8,293542300,49536300,42825900,202267400,33556600,16185700,1531700,1075000,24300,247900,640793100
la,8,2097915000,299705000,313412800,250900900,265164000,73184500,5024700,12813600,27100,4035500,3322183100
sf,8,184710100,41275400,15817500,19156900,35858100,6031800,2418400,1141000,15400,295400,306720000
riverside,8,165292000,43549000,67940200,44580700,26874000,13715500,364900,1396200,11700000,628500,376041000
sd,8,1411723700,171253000,380287900,107406000,116645100,41531500,6534900,21592600,2858500,2347400,2262180600
phoenix,8,1258784200,269675200,575150600,78973600,201697000,92376000,5485300,101837600,10646600,4772500,2599398600
denver,8,1053846400,85396100,103305900,73527600,59197800,30214400,5755200,5390600,36610700,712700,1453957400
tampa,8,1181998500,44802200,78112800,127639700,25839500,14401800,11060600,3137400,20600,626900,1487640000
