city,total_area_sqm,open_water_sqm,developed_open_space_sqm,developed_low_intensity_sqm,developed_medium_intensity_sqm,developed_high_intensity_sqm,barren_land_sqm,deciduous_forest_sqm,evergreen_forest_sqm,mixed_forest_sqm,shrubscrub_sqm,grasslandherbaceous_sqm,pasturehay_sqm,cultivated_crops_sqm,woody_wetlands_sqm,emergent_herbaceous_wetlands_sqm,landcover_type_diversity
Detroit,3830101200,507971700,459536400,887548500,1057071600,323545500,7803000,220807800,790200,1946700,195300,2590200,45260100,128539800,148030200,38464200,15
Chicago,6741889200,2245266000,561704400,1147151700,1401270300,567940500,25191900,206627400,1259100,3226500,21988800,20336400,61610400,267438600,147944700,62932500,15
Minneapolis,3142624500,214857900,477189000,847413900,580059000,163564200,15525900,189161100,4065300,5229900,26100,4171500,153473400,199305000,73785600,214796700,15
Des_moines,3629188800,64198800,206701200,306499500,191480400,47008800,11915100,325894500,571500,2907900,1754100,9141300,659148300,1644132600,93136500,64698300,15
St_louis,3621532500,181785600,455505300,677368800,498299400,161937000,14310900,425664900,2142900,19548000,67500,2682000,126626400,854232300,143046900,58314600,15
NYC,8759313000,1933731000,1447095600,1432746900,1369889100,687825000,48476700,1010196000,6660900,56668500,6858000,19340100,76162500,35665200,480520800,147476700,15
Boston,5310096300,1052887500,921511800,766941300,485440200,195775200,27942300,423819900,195005700,419743800,7796700,36009900,62006400,13089600,634046400,68079600,15
Philadelphia,6647731200,182508300,1158743700,1297234800,843115500,333008100,22149000,869404500,50921100,174520800,18974700,5091300,374531400,590595300,673719300,53213400,15
DC,4973517000,159673500,970434900,979486200,616757400,159111900,23985000,1086614100,24849000,270004500,28155600,9756000,240278400,133630200,251078400,19701900,15
Dallas,7781073300,407125800,457059600,1329920100,1725588000,427454100,18011700,525449700,49633200,16699500,388800,1369383300,716211900,520890300,182618100,34639200,15
Houston,11346390000,565369200,1220446800,1814243400,1868039100,547699500,47407500,20643300,649110600,391783500,63061200,48562200,2518290000,531487800,829894500,230351400,15
Raleigh,6222679200,178044300,783166500,737107200,346703400,71815500,12048300,598611600,933571800,980849700,90974700,157558500,532703700,378071100,415463400,5989500,15
Charlotte,7449515100,194699700,1118234700,945381600,411913800,123474600,16694100,1622027700,539316900,612663300,61315200,104168700,1281487500,351032400,65895300,1209600,15
Denton,9241344000,384894900,467820000,1443636000,1964753100,517410900,15411600,611118000,33336000,3619800,360900,2664633600,350338500,666311400,95858100,21841200,15
Atlanta,4803926400,55505700,1133629200,1291193100,574763400,238056300,18355500,662221800,337413600,161045100,8227800,18659700,189364500,291600,114325200,873900,15
LA,10400223600,1161191700,386875800,1087838100,2295254700,714518100,18719100,246600,148190400,130244400,3224895300,922822200,5210100,223662600,44065800,36488700,15
SF,3488710500,1418496300,158346900,303388200,485461800,178778700,13104000,7572600,331507800,113802300,283541400,126237600,242100,6822900,8894700,52513200,15
Riverside,4921924500,46174500,412416900,756320400,903928500,177876000,14808600,7194600,167539500,80324100,1537228800,610471800,5239800,136154700,46548900,19697400,15
SD,6413339700,688146300,419175900,594820800,663750900,124317900,5555700,5128200,91362600,140512500,3175900200,341935200,10406700,28521900,57710700,66094200,15
Phoenix,9790308000,49411800,563551200,992252700,1335051900,201506400,36363600,0,1310400,41400,5977286100,27216000,1538100,471913200,119207700,13657500,14
