city,mean_park_size_sqm,median_park_size_sqm,mean_log_park_size,median_log_park_size
detroit,48480.23781,7608.75603,8.945682117,8.937054972
chicago,24394.24675,1979.891285,7.734886213,7.590797216
minneapolis,48051.19547,12218.78955,8.930432707,9.410730173
des_moines,117837.3579,9385.099539,9.41554303,9.146878555
st_louis,29521.31164,1610.694798,7.731029708,7.38441416
nyc,24362.90942,2208.337825,7.62560257,7.699995396
boston,18815.94884,1366.898427,7.403170846,7.22029953
philadelphia,69641.76806,8434.502203,8.914203459,9.040083783
dc,36863.83014,1156.718613,7.400161408,7.053342494
dallas,187638.0139,25794.3696,10.15409003,10.15791151
houston,288314.3804,12104.58664,9.487312338,9.401333347
raleigh,170848.8851,13786.65379,9.61716802,9.531453602
charlotte,83834.13396,15785.22467,9.644102812,9.666829634
denton,722793.8936,20512.6083,9.851499833,9.928795015
atlanta,43205.69704,3756.646495,8.19076104,8.231253017
la,178600.8765,10830.24279,9.227560246,9.290083825
sf,37902.76105,2466.579683,7.746900989,7.810587327
riverside,160674.9171,22369.08164,9.760131622,10.015435
sd,158853.5652,11027.53927,9.387221703,9.308150993
phoenix,767305.7352,38304.54321,10.51180171,10.55326831
denver,53636.76743,20674.46972,9.896440153,9.936654871
tampa,79664.27318,8781.948509,9.244508032,9.080390535
