"city","total_community_sampling_events","single_year_only_events","events_in_colonization_extinction_sequences","Hesperiidae_community_sampling_events","Lycaenidae_community_sampling_events","Nymphalidae_community_sampling_events","Papilionidae_community_sampling_events","Pieridae_community_sampling_events","total_binary_detections_city","n_species_detected_city","n_sites","mean_log_park_size","sd_park_size","mean_log_connectivity","sd_connectivity","mean_tree_cover","sd_tree_cover","mean_log_n_plant_genera","sd_log_n_plant_genera"
"Atlanta",162,77,85,37,14,56,34,21,323,40,52,10.2057166978125,2.52895498016028,3.58103295692968,0.179463535017959,72.3716689028846,26.6319936289839,2.15035765549421,1.6657090649129
"Boston",413,166,247,61,33,176,45,98,648,40,146,8.4628231167399,2.46157827796245,5.04011242241953,0.128398385863019,41.2672072262352,28.2316814657628,1.49589663325718,1.59965105411754
"Charlotte",161,62,99,37,16,71,28,9,264,47,54,11.4413576150119,2.03296544960432,2.9381190207397,0.28034745180233,70.4660299148823,23.4416336292302,2.04639785489529,1.43955181223934
"Chicago",755,248,507,119,46,341,153,96,1820,57,206,9.66250603065809,2.2495725610296,4.17861253253472,0.120546130241568,43.1986868764434,25.1964170175655,2.00823744098892,1.66988649780062
"DC",449,157,292,85,52,141,90,81,979,50,132,9.38356633807068,2.46425197306284,4.61917453563392,0.102154678935692,66.4131296045031,27.3483478785004,1.78672108564608,1.64704868243275
"Dallas",467,163,304,69,64,182,65,87,1386,64,118,11.3818037657439,1.98076788050368,2.51456169355254,0.593243796731645,44.9443784630359,27.5029525580474,2.87864148030205,1.32279520253851
"Denton",601,155,446,92,91,216,83,119,2717,79,118,11.3646210283785,1.87180380041278,2.40937806573276,NA,38.9040791591908,27.0940036790668,2.65328696243496,1.65094108264954
"Denver",99,54,45,15,2,42,23,17,133,23,45,10.9010035618124,1.50801890777025,3.21404460994648,0.140022280991986,24.134116352932,16.2239276363365,1.69041123080179,1.48536665261498
"Des_moines",45,27,18,8,3,24,9,1,51,18,20,11.8388409352372,2.33946767565463,3.62523334003366,0.313014030596192,47.6790509631558,31.4605109367873,1.54896320005063,1.54092104811343
"Detroit",49,15,34,10,5,19,10,5,127,35,12,12.1027218727141,2.35860410965231,2.94535630340874,0.238123900585886,40.2705951613466,24.2768582935786,2.59196900233058,1.94460219984254
"Houston",414,96,318,75,52,150,79,58,1724,67,83,10.3648889031892,2.83441129663418,2.75349218338789,0.3779099887417,42.5755824755039,29.0070550555859,2.09297792579675,1.89625244977085
"LA",1009,239,770,205,192,325,122,165,3012,59,208,10.8875072896066,2.29652721553547,2.9867952693457,0.287313468570427,25.4919805853469,21.8270409885784,2.16311552355022,1.57191329046871
"Minneapolis",199,90,109,30,10,91,42,26,348,35,68,9.9260354932976,2.32452099461107,3.65306626774091,0.111516943446314,44.9023455961975,25.6265789602346,1.72304623470802,1.52546319273935
"NYC",1465,488,977,237,166,576,227,259,2953,56,418,9.13891438793853,2.66593625057968,4.49853529787335,0.138898516451114,61.5508791678702,28.7399207397154,1.91627716597747,1.7426585560048
"Philadelphia",372,118,254,71,46,111,84,60,658,47,106,9.77756397252686,2.7013752711236,3.94064568525193,0.252407216953747,45.6738485092086,30.3772246055176,2.08140232465597,1.67823036131213
"Phoenix",98,30,68,15,18,43,6,16,307,43,28,12.8742156391983,2.6618229607431,2.44146228882565,1.09185118931037,6.23255352011919,9.34762188043602,2.52851153965349,1.56374529817921
"Raleigh",238,72,166,54,23,80,58,23,388,50,62,11.6073721130814,1.79503206714156,3.01824494188021,0.316101961269312,76.5079312248393,17.6216964444979,2.72284036514784,1.4661331896962
"Riverside",64,27,37,11,13,19,9,12,93,23,18,11.574441682159,2.12071662807474,2.79326163622715,0.466918926592339,27.4329552916995,18.1930669870482,2.21770365064283,1.68704485137393
"SD",1375,454,921,253,288,451,191,192,3275,60,334,10.2779903749574,2.46492797525856,3.6746232651161,0.26533168904199,23.7795621207012,25.5264221602095,2.20336183355684,1.61268385393772
"SF",788,281,507,140,68,333,158,89,1748,39,249,7.93613841121191,2.22153645572073,4.34533263779396,0.166552768517612,33.3942525079124,29.8797845505574,1.43125024657441,1.39236221560677
"St_louis",121,52,69,19,8,48,24,22,355,47,41,8.35405772978169,2.80563071789635,3.83610532259541,0.0985274045719114,40.9032995699229,29.0572745210627,1.05989394064045,1.44621610157681
"Tampa",64,41,23,9,3,33,11,8,107,26,32,11.2081492558122,1.68184306167236,2.7015697828415,0.384528709272512,52.2280905197442,27.0072126609098,1.82196580288843,1.4829816201872
